Puntuación,Dificultad,Categoria
0.0,10.0,Malo
3.8,5.8,Regular
8.5,1.9,Excelente
7.7,2.4,Bueno
8.4,1.9,Excelente
8.0,2.0,Excelente
9.6,1.5,Excelente
8.4,2.4,Excelente
8.8,1.3,Excelente
7.9,2.0,Excelente
7.0,1.6,Excelente
5.3,5.8,Regular
6.5,4.0,Bueno
8.0,1.5,Excelente
4.7,5.3,Regular
7.0,4.2,Bueno
0.0,10.0,Malo
6.3,4.6,Bueno
2.5,6.0,Regular
7.5,2.3,Bueno
10.0,3.3,Excelente
8.2,3.8,Bueno
0.0,10.0,Malo
7.3,3.6,Bueno
8.4,1.5,Excelente
7.0,5.2,Bueno
0.0,10.0,Malo
8.0,0.0,Excelente
7.0,2.0,Bueno
4.7,2.0,Bueno
6.8,4.2,Bueno
4.9,3.9,Regular
8.6,2.6,Excelente
8.0,3.1,Bueno
0.0,10.0,Malo
6.3,4.1,Bueno
5.7,4.9,Regular
8.3,1.3,Excelente
8.4,1.5,Excelente
8.5,1.8,Excelente
8.7,3.6,Bueno
0.0,10.0,Malo
0.0,10.0,Malo
4.4,2.9,Regular
8.0,1.9,Excelente
10.0,4.0,Bueno
8.2,4.3,Bueno
8.7,4.4,Bueno
0.0,10.0,Malo
9.3,1.9,Excelente
6.0,7.0,Regular
8.7,2.0,Excelente
2.0,8.0,Malo
6.3,3.2,Bueno
8.3,3.8,Bueno
5.1,4.6,Regular
6.7,3.4,Bueno
6.3,3.4,Bueno
2.0,4.0,Regular
7.1,4.0,Bueno
8.8,2.9,Excelente
8.6,3.0,Bueno
7.5,3.1,Bueno
0.0,10.0,Malo
6.8,7.5,Regular
5.3,4.9,Regular
6.0,5.3,Regular
6.9,3.6,Bueno
5.5,2.7,Bueno
8.0,0.0,Excelente
9.5,2.6,Excelente
0.0,10.0,Malo
7.5,2.7,Bueno
6.3,3.0,Bueno
9.4,2.3,Excelente
6.6,4.3,Bueno
7.0,3.3,Bueno
9.5,2.5,Excelente
9.0,2.0,Excelente
5.4,4.2,Regular
8.6,0.6,Excelente
5.9,3.4,Bueno
5.0,1.4,Bueno
6.3,4.1,Bueno
0.0,10.0,Malo
4.4,3.6,Regular
8.1,3.4,Bueno
7.5,4.3,Bueno
9.3,1.5,Excelente
2.9,4.2,Regular
0.0,10.0,Malo
8.4,3.7,Bueno
7.4,2.3,Bueno
8.0,4.2,Bueno
0.0,10.0,Malo
8.6,2.5,Excelente
6.5,4.8,Bueno
4.0,6.0,Regular
0.0,10.0,Malo
7.3,2.0,Bueno
6.7,4.0,Bueno
6.5,3.2,Bueno
6.0,4.0,Bueno
5.1,5.0,Regular
4.0,6.0,Regular
8.3,1.7,Excelente
10.0,0.0,Excelente
8.1,2.3,Excelente
8.0,2.0,Excelente
8.3,1.4,Excelente
6.6,2.9,Bueno
0.0,10.0,Malo
8.0,2.0,Excelente
8.4,1.3,Excelente
7.0,5.7,Bueno
7.7,2.1,Excelente
7.1,3.2,Bueno
7.2,2.5,Bueno
7.7,3.3,Bueno
6.0,4.3,Bueno
6.5,0.7,Excelente
9.0,0.0,Excelente
9.2,4.1,Bueno
6.0,3.0,Bueno
9.5,3.0,Excelente
8.3,3.3,Bueno
8.5,3.7,Bueno
9.0,1.0,Excelente
6.2,2.2,Bueno
8.0,4.8,Bueno
7.1,2.8,Bueno
0.0,10.0,Malo
6.3,4.0,Bueno
7.7,2.0,Excelente
10.0,0.0,Excelente
8.2,0.6,Excelente
9.2,4.3,Bueno
0.0,10.0,Malo
8.8,1.3,Excelente
9.2,5.3,Bueno
4.3,5.0,Regular
7.0,2.0,Bueno
10.0,0.0,Excelente
7.0,4.7,Bueno
7.9,0.4,Excelente
5.5,5.0,Regular
9.0,3.0,Excelente
6.0,3.4,Bueno
7.8,4.6,Bueno
7.1,2.3,Bueno
5.8,1.5,Bueno
5.0,1.0,Bueno
8.9,2.1,Excelente
8.4,4.0,Bueno
6.9,5.5,Bueno
6.5,4.0,Bueno
9.1,3.5,Bueno
8.5,3.7,Bueno
7.7,1.6,Excelente
6.1,4.2,Bueno
4.0,0.0,Bueno
8.3,3.5,Bueno
7.0,2.1,Bueno
0.0,10.0,Malo
7.3,4.1,Bueno
5.3,3.7,Regular
4.3,7.0,Regular
7.7,3.9,Bueno
9.4,1.5,Excelente
8.9,2.5,Excelente
9.5,2.0,Excelente
6.9,3.9,Bueno
6.6,1.6,Bueno
7.3,0.8,Excelente
8.2,3.9,Bueno
0.0,10.0,Malo
9.0,3.4,Bueno
6.9,2.5,Bueno
5.8,4.1,Bueno
3.8,7.1,Regular
4.3,7.3,Regular
6.0,4.0,Bueno
7.9,2.0,Excelente
5.2,3.3,Bueno
7.8,2.8,Bueno
6.3,4.6,Bueno
6.2,3.8,Bueno
8.7,2.4,Excelente
4.3,6.1,Regular
7.1,3.4,Bueno
8.6,2.5,Excelente
9.1,2.7,Excelente
0.0,10.0,Malo
6.1,6.4,Regular
9.9,1.5,Excelente
9.7,1.8,Excelente
0.0,10.0,Malo
10.0,0.0,Excelente
10.0,0.0,Excelente
6.6,1.4,Excelente
4.5,6.5,Regular
7.1,4.5,Bueno
5.5,5.5,Regular
7.3,3.1,Bueno
6.4,3.9,Bueno
6.5,5.5,Regular
7.2,4.3,Bueno
7.8,3.2,Bueno
8.0,2.3,Excelente
9.4,1.6,Excelente
3.9,4.9,Regular
9.2,4.0,Bueno
9.0,4.0,Bueno
8.5,0.0,Excelente
8.2,4.2,Bueno
0.0,10.0,Malo
7.9,3.8,Bueno
8.4,0.4,Excelente
5.3,3.4,Bueno
4.4,5.4,Regular
5.7,3.8,Bueno
4.2,6.0,Regular
7.5,3.2,Bueno
9.3,0.5,Excelente
8.1,2.9,Bueno
7.2,4.2,Bueno
7.2,4.5,Bueno
9.0,1.3,Excelente
6.0,3.5,Bueno
6.0,4.7,Regular
7.4,1.8,Excelente
8.0,0.0,Excelente
8.0,0.0,Excelente
9.5,0.5,Excelente
6.9,2.4,Bueno
7.9,5.2,Bueno
8.0,2.0,Excelente
6.6,2.2,Bueno
8.5,5.0,Bueno
8.8,3.4,Bueno
7.8,5.5,Bueno
6.5,3.5,Bueno
0.0,10.0,Malo
6.4,4.1,Bueno
6.0,2.0,Bueno
7.6,4.2,Bueno
7.8,4.0,Bueno
7.5,4.2,Bueno
2.0,0.0,Regular
6.6,4.2,Bueno
7.7,3.1,Bueno
5.1,2.8,Bueno
7.9,2.7,Bueno
7.0,4.0,Bueno
7.3,3.1,Bueno
9.3,1.4,Excelente
8.0,2.7,Bueno
2.6,7.1,Regular
6.9,2.3,Bueno
8.3,2.8,Bueno
5.4,4.8,Regular
0.0,10.0,Malo
0.0,10.0,Malo
0.0,10.0,Malo
7.8,2.5,Bueno
7.3,3.5,Bueno
8.3,3.3,Bueno
0.0,10.0,Malo
6.5,4.6,Bueno
4.2,4.0,Regular
5.1,3.6,Regular
9.3,2.9,Excelente
10.0,0.0,Excelente
5.4,3.0,Bueno
7.9,5.4,Bueno
8.9,4.2,Bueno
0.0,10.0,Malo
8.1,5.4,Bueno
6.1,2.7,Bueno
8.3,3.6,Bueno
8.6,1.1,Excelente
4.0,8.0,Regular
8.2,3.0,Bueno
8.0,4.0,Bueno
8.8,0.8,Excelente
9.0,2.0,Excelente
3.3,3.7,Regular
7.9,1.2,Excelente
0.0,10.0,Malo
7.2,0.8,Excelente
7.5,4.0,Bueno
4.6,4.5,Regular
6.4,2.5,Bueno
0.0,10.0,Malo
5.9,4.3,Bueno
7.0,2.0,Bueno
8.0,2.0,Excelente
5.6,3.7,Bueno
5.5,1.9,Bueno
8.6,2.1,Excelente
9.6,0.4,Excelente
7.5,3.2,Bueno
7.4,3.1,Bueno
7.5,3.5,Bueno
6.3,3.9,Bueno
9.8,0.5,Excelente
7.7,4.7,Bueno
10.0,2.0,Excelente
8.5,4.1,Bueno
7.0,2.0,Bueno
7.2,4.2,Bueno
5.7,4.7,Regular
0.0,10.0,Malo
7.2,4.7,Bueno
6.9,3.2,Bueno
2.0,8.0,Malo
5.8,4.9,Regular
8.0,1.3,Excelente
9.8,4.0,Bueno
6.4,5.1,Regular
2.0,8.0,Malo
6.6,3.5,Bueno
5.5,2.0,Bueno
0.0,10.0,Malo
0.0,10.0,Malo
8.0,4.0,Bueno
8.8,1.7,Excelente
8.9,2.5,Excelente
10.0,1.0,Excelente
7.2,1.5,Excelente
5.4,1.9,Bueno
8.1,2.1,Excelente
6.0,1.4,Bueno
6.1,3.4,Bueno
0.0,10.0,Malo
0.0,10.0,Malo
4.0,8.0,Regular
9.0,2.0,Excelente
7.2,2.2,Bueno
0.0,10.0,Malo
7.1,3.2,Bueno
3.7,5.1,Regular
6.4,0.4,Excelente
0.0,10.0,Malo
6.7,2.7,Bueno
7.6,3.0,Bueno
10.0,0.0,Excelente
4.0,5.0,Regular
2.0,8.0,Malo
6.8,5.7,Regular
6.9,2.1,Bueno
8.0,3.3,Bueno
3.2,2.6,Regular
6.0,5.0,Regular
7.0,2.0,Bueno
6.2,3.1,Bueno
4.4,6.7,Regular
7.6,1.7,Excelente
7.8,2.2,Excelente
7.5,0.9,Excelente
9.5,1.0,Excelente
10.0,2.0,Excelente
9.3,1.0,Excelente
5.0,4.2,Regular
6.2,5.0,Regular
9.4,1.5,Excelente
3.0,6.0,Regular
0.0,10.0,Malo
10.0,0.7,Excelente
7.5,2.7,Bueno
8.5,0.0,Excelente
7.7,3.8,Bueno
6.0,3.5,Bueno
6.4,4.4,Bueno
8.6,1.8,Excelente
9.4,1.4,Excelente
7.8,3.2,Bueno
7.1,4.0,Bueno
0.0,10.0,Malo
4.1,5.6,Regular
7.7,3.9,Bueno
7.1,3.0,Bueno
0.0,10.0,Malo
7.5,3.4,Bueno
6.2,4.0,Bueno
7.3,1.6,Excelente
4.0,5.4,Regular
10.0,2.0,Excelente
8.3,2.6,Excelente
9.5,0.2,Excelente
5.3,4.6,Regular
8.4,5.0,Bueno
0.0,10.0,Malo
7.0,0.8,Excelente
7.2,3.3,Bueno
9.1,2.3,Excelente
9.7,2.0,Excelente
9.0,0.0,Excelente
0.0,10.0,Malo
6.8,2.2,Bueno
8.1,3.0,Bueno
7.8,3.4,Bueno
7.3,3.3,Bueno
8.5,3.3,Bueno
7.8,3.8,Bueno
10.0,0.0,Excelente
9.0,8.0,Bueno
6.0,5.7,Regular
7.9,1.6,Excelente
7.4,2.2,Bueno
8.3,1.8,Excelente
8.2,3.6,Bueno
0.0,10.0,Malo
10.0,1.0,Excelente
7.3,2.5,Bueno
9.1,0.7,Excelente
10.0,0.0,Excelente
7.9,3.4,Bueno
7.0,1.4,Excelente
2.0,7.0,Regular
